날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프
2022-08-20,31720000.0,20834.39,1327.23,2022-08-20 09:00:00,1293.0574951171875,27652027.4397,0.14711299448732706,1522.482779673415,-0.034872546472071275,-0.0032374338283675808,0.0022992404412304213
2022-08-21,28678000.0,21140.07,1327.23,2022-08-21 09:00:00,1294.1007080078125,28057735.1061,0.022106734259001115,1356.570720910574,-0.007991256092030136,-0.0032374338283675808,0.0021302177140688217
2022-08-22,29350000.0,21516.7,1335.78,2022-08-22 09:00:00,1295.526611328125,28741577.526,0.0211687223309025,1364.0567559151727,-0.00920415334768665,-0.004622716094546231,0.0018991909792250572
2022-08-23,29458000.0,21400.75,1343.73,2022-08-23 09:00:00,1297.37841796875,28756829.7975,0.024382736464259258,1376.4938144691191,-0.011219221962681658,-0.005910785570115845,0.0015991588272192547
2022-08-24,29261000.0,21529.11,1339.54,2022-08-24 09:00:00,1299.5955810546875,28839104.0094,0.014629302992994697,1359.136536531236,-0.008406972919818123,-0.005231916249029467,0.0012399311425204118
2022-08-25,29287000.0,21368.05,1340.96,2022-08-25 09:00:00,1302.108642578125,28653700.328,0.022101846000711634,1370.5976914131145,-0.01026392433593426,-0.005461986520137491,0.0008327616030778529
2022-08-26,29103000.0,21559.04,1334.96,2022-08-26 09:00:00,1305.3271484375,28780456.0384,0.011207048323683466,1349.9209612301845,-0.00691385326634672,-0.004489858614047215,0.0003112950427756056
2022-08-27,29299000.0,20239.14,1334.96,2022-08-27 09:00:00,1308.7919921875,27018442.3344,0.08440744426988611,1447.6405618025271,-0.022746511714408252,-0.004489858614047215,-0.0002500835071606311
2022-08-28,27954000.0,20037.6,1334.96,2022-08-28 09:00:00,1312.0926513671875,26749394.496,0.045033000809798995,1395.0772547610493,-0.014230135445839592,-0.004489858614047215,-0.0007848606566718541
2022-08-29,27739000.0,19555.61,1342.18,2022-08-29 09:00:00,1315.3631591796875,26247148.629800003,0.0568386071661211,1418.4676417662247,-0.018019876769503312,-0.005659652527709197,-0.001314752641941419
2022-08-30,27098000.0,20287.2,1345.98,2022-08-30 09:00:00,1318.4593505859375,27306165.456,-0.007623386606055327,1335.7190740959816,-0.004612844799296217,-0.006275333534899702,-0.0018164016533768479
2022-08-31,27792000.0,19813.03,1350.55,2022-08-31 09:00:00,1321.126708984375,26758487.6665,0.038623719934437695,1402.7132649574548,-0.015467331879692209,-0.0070157709567051085,-0.002248570575821063
2022-09-01,27314000.0,20048.44,1341.76,2022-09-01 09:00:00,1323.5546875,26900194.854399998,0.015382979485455861,1362.4002665544053,-0.008935766758729397,-0.005591603574282872,-0.0026419548542255256
2022-09-02,27521000.0,20132.64,1356.79,2022-09-02 09:00:00,1326.0263671875,27315764.6256,0.007513440579571373,1366.9841610439564,-0.009678455384040385,-0.008026783979038998,-0.003042419654081391
2022-09-03,27636000.0,19950.98,1356.79,2022-09-03 09:00:00,1328.176025390625,27069290.1542,0.02093552666404408,1385.1951132225086,-0.012629017852248042,-0.008026783979038998,-0.003390710108716999
2022-09-04,27562000.0,19832.45,1356.79,2022-09-04 09:00:00,1330.31884765625,26908469.835500002,0.024287154509165187,1389.74256836649,-0.013365802526774412,-0.008026783979038998,-0.0037378929957512796
2022-09-05,27440000.0,20000.3,1363.68,2022-09-05 09:00:00,1332.309326171875,27274009.104,0.006086046806212275,1371.9794203086956,-0.01048779387227522,-0.00914311085786601,-0.004060392947669994
2022-09-06,27529000.0,19795.34,1370.53,2022-09-06 09:00:00,1334.208984375,27130107.330199998,0.01470295214630335,1390.6808370050728,-0.013517822047937,-0.010252956883985698,-0.0043681780728851705
2022-09-07,27309000.0,18790.61,1378.52,2022-09-07 09:00:00,1335.7298583984375,25903231.6972,0.05426999685726308,1453.3322760676742,-0.023668690759515165,-0.011547507212262581,-0.004614592086190389
2022-09-08,26361000.0,19292.85,1375.39,2022-09-08 09:00:00,1337.88916015625,26535192.9615,-0.006564601273212456,1366.3611130548366,-0.009577508327864248,-0.01104038048791886,-0.004964445002263618
2022-09-09,26811000.0,19320.54,1384.88,2022-09-09 09:00:00,1339.668701171875,26756629.435200002,0.0020320408791276723,1387.6941327726863,-0.013033912292680194,-0.012577962792718306,-0.00525276858248383
2022-09-10,26887000.0,21361.62,1384.88,2022-09-10 09:00:00,1341.420166015625,29583280.305600002,-0.09114203285595768,1258.6592215384414,0.00787249405243487,-0.012577962792718306,-0.0055365432243414114
2022-09-11,29344000.0,21647.21,1384.88,2022-09-11 09:00:00,1343.089111328125,29978788.184800003,-0.021174577867755673,1355.5557506025027,-0.007826809265308626,-0.012577962792718306,-0.00580694794301137
2022-09-12,29727000.0,21826.87,1380.06,2022-09-12 09:00:00,1344.7220458984375,30122390.212199997,-0.013126123438898185,1361.945162086914,-0.00886203013322362,-0.011797020041492412,-0.00607151815378143
2022-09-13,30028000.0,22395.44,1375.25,2022-09-13 09:00:00,1346.239990234375,30799328.86,-0.02504369051371591,1340.8086646210122,-0.0054374669626220395,-0.011017697503443391,-0.0063174574952575
2022-09-14,30684000.0,20173.62,1392.37,2022-09-14 09:00:00,1348.186279296875,28089143.279399995,0.09237934723708796,1520.996231712504,-0.0346316940126474,-0.013791502462154298,-0.006632797813753255
2022-09-15,28371000.0,20227.17,1391.44,2022-09-15 09:00:00,1349.822998046875,28144893.424799997,0.008033662511607531,1402.618359365151,-0.015451955150571794,-0.01364082263671032,-0.006897981142302612
2022-09-16,28352000.0,19701.88,1397.7,2022-09-16 09:00:00,1351.0787353515625,27537317.676000003,0.029584665201797478,1439.0504865525525,-0.02135473640342228,-0.014655076085397845,-0.007101437355070184
2022-09-17,28029000.0,19803.3,1397.7,2022-09-17 09:00:00,1352.91015625,27679072.41,0.01264231636149682,1415.3701655784641,-0.01751801959607463,-0.014655076085397845,-0.007398166582264831
2022-09-18,27916000.0,20112.61,1397.7,2022-09-18 09:00:00,1354.60400390625,28111394.997,-0.006950739976470555,1387.9849507348872,-0.013081031002121518,-0.014655076085397845,-0.007672606011482536
2022-09-19,28174000.0,19417.45,1385.95,2022-09-19 09:00:00,1356.3428955078125,26911614.8275,0.04690856273738042,1450.9629225258723,-0.023284804976618584,-0.012751325602637725,-0.007954343520073348
2022-09-20,27490000.0,19537.02,1390.33,2022-09-20 09:00:00,1358.1319580078125,27162905.016599998,0.012041973537075812,1407.0723170678025,-0.016173591246453983,-0.013460978974083604,-0.008244209783738299
2022-09-21,27566000.0,18874.31,1392.91,2022-09-21 09:00:00,1359.5968017578125,26290215.142100003,0.048526984317333044,1460.5037217254564,-0.02483061783467183,-0.01387899397370243,-0.00848154569831111
2022-09-22,26757000.0,18461.36,1397.72,2022-09-22 09:00:00,1360.8740234375,25803812.099200003,0.03693980940240804,1449.3515103979337,-0.0230237218603217,-0.014658316511751479,-0.00868848283782575
2022-09-23,26523000.0,19401.63,1407.07,2022-09-23 09:00:00,1362.140869140625,27299451.524100002,-0.028442019189086953,1367.0500880596114,-0.009689136965987638,-0.016173215832075455,-0.008893738847945476
