"날짜","종가","오픈","고가","저가","변동 %"
"2018년 06월 20일","1,284.47","1,288.68","1,290.53","1,277.30","-0.33%"
"2018년 06월 19일","1,288.68","1,282.72","1,291.85","1,281.81","0.47%"
"2018년 06월 18일","1,282.61","1,280.96","1,285.49","1,276.16","0.13%"
"2018년 06월 15일","1,280.96","1,259.93","1,283.90","1,257.51","1.66%"
"2018년 06월 14일","1,260.04","1,280.68","1,283.43","1,259.54","-1.60%"
"2018년 06월 13일","1,280.54","1,270.44","1,281.27","1,267.92","0.78%"
"2018년 06월 12일","1,270.62","1,268.99","1,274.23","1,262.57","0.13%"
"2018년 06월 11일","1,268.99","1,264.73","1,271.18","1,263.56","0.32%"
"2018년 06월 08일","1,264.98","1,265.57","1,270.30","1,261.77","-0.01%"
"2018년 06월 07일","1,265.09","1,255.96","1,269.16","1,254.96","0.72%"
"2018년 06월 06일","1,256.10","1,255.87","1,258.27","1,250.33","-0.00%"
"2018년 06월 05일","1,256.11","1,252.08","1,257.41","1,248.33","0.30%"
"2018년 06월 04일","1,252.31","1,248.84","1,256.85","1,248.46","0.20%"
"2018년 06월 01일","1,249.87","1,263.55","1,265.27","1,247.38","-1.07%"
"2018년 05월 31일","1,263.42","1,255.87","1,264.80","1,253.02","0.57%"
"2018년 05월 30일","1,256.21","1,251.72","1,261.18","1,246.32","0.39%"
"2018년 05월 29일","1,251.36","1,250.05","1,254.34","1,243.31","0.12%"
"2018년 05월 28일","1,249.81","1,255.47","1,259.86","1,247.00","-0.53%"
"2018년 05월 25일","1,256.53","1,267.85","1,270.15","1,255.62","-0.88%"
"2018년 05월 24일","1,267.68","1,260.01","1,274.73","1,258.88","0.61%"
"2018년 05월 23일","1,259.95","1,268.05","1,272.84","1,259.19","-0.64%"
"2018년 05월 22일","1,268.06","1,270.64","1,272.96","1,265.03","-0.21%"
"2018년 05월 21일","1,270.77","1,272.48","1,277.90","1,269.85","-0.22%"
"2018년 05월 18일","1,273.58","1,276.98","1,277.62","1,271.67","-0.25%"
"2018년 05월 17일","1,276.80","1,272.44","1,279.32","1,271.32","0.33%"
"2018년 05월 16일","1,272.55","1,279.64","1,280.41","1,269.36","-0.54%"
"2018년 05월 15일","1,279.41","1,277.15","1,282.86","1,274.67","0.16%"
"2018년 05월 14일","1,277.32","1,275.64","1,283.71","1,274.04","0.13%"
"2018년 05월 11일","1,275.60","1,269.89","1,278.53","1,268.85","0.45%"
"2018년 05월 10일","1,269.89","1,279.40","1,281.67","1,267.77","-0.72%"
