state,enter_price,enter_time,exit_price,ror,fiat_money,비공식환율,seed_fiat,seed_krw,바이낸스USDT,비트코인KRW,달러환율,김치프리미엄,선형회귀예상김프,LSTM달러_예측값_예상김프
False,64882.42,2021-11-11,80813000.0,1.0315423006370772,253798989.73241708,1245.5299910206802,253798989.73241708,253798989.73241708,64882.42,80813000.0,1185.15,-0.050947129916618206,-0.01978255498785,-0.0240711121186179
True,77867000.0,2021-11-15,65519.11,1.0315423006370772,253798989.73241708,1188.4624195902538,213365.30760811327,251758261.0591172,65519.11,77867000.0,1179.94,-0.0072227567420832806,-0.0206266860529717,-0.0227226287859937
False,63606.73,2021-11-16,79323000.0,1.047497021802212,265853685.88111705,1247.0850175759704,265853685.88111705,265853685.88111705,63606.73,79323000.0,1183.56,-0.053672832451223895,-0.0200401688829639,-0.0227226287859937
True,71813000.0,2021-11-21,59707.52,1.047497021802212,265853685.88111705,1202.746320731459,220852.52488147136,261266328.4095318,59707.52,71813000.0,1182.99,-0.016700327755483135,-0.0201325210340425,-0.0221752728330102
False,58617.7,2021-11-22,73669000.0,1.0431608653881466,277328161.0303745,1256.7705658870955,277328161.0303745,277328161.0303745,58617.7,73669000.0,1188.77,-0.057202457907833626,-0.0191960378178422,-0.0221752728330102
True,57980000.0,2021-12-22,48887.59,1.0431608653881466,277328161.0303745,1185.9860549476873,233653.33855513795,278147943.81619287,48887.59,57980000.0,1190.43,0.0037330586866198834,-0.0189270824304906,-0.0220938468363188
False,48588.17,2021-12-23,60023000.0,1.039975828694989,288414584.0880211,1235.3418537886898,288414584.0880211,288414584.0880211,48588.17,60023000.0,1187.94,-0.03990256560827121,-0.019330515511518,-0.0220938468363188
True,59759000.0,2021-12-24,50838.82,1.039975828694989,288414584.0880211,1175.460012643881,245170.20480212392,290683601.6215902,50838.82,59759000.0,1185.64,0.008586069427582554,-0.0197031645421859,-0.0218000051960848
False,50819.99,2021-12-25,61490000.0,1.027729259801327,296412107.0206895,1209.9569480434766,296412107.0206895,296412107.0206895,50819.99,61490000.0,1185.64,-0.02050955437019386,-0.0197031645421859,-0.0218000051960848
True,61177000.0,2021-12-27,50775.48,1.027729259801327,296412107.0206895,1204.8532086747382,245821.83012052628,291815094.5360767,50775.48,61177000.0,1187.1,-0.014955107972991488,-0.0194666134183707,-0.0210570251155146
False,47543.74,2021-12-29,61470000.0,1.0714160219108007,317580680.5503056,1292.9146928701866,317580680.5503056,317580680.5503056,47543.74,61470000.0,1188.14,-0.0881837938880825,-0.0192981112479816,-0.0210570251155146
True,57089000.0,2021-12-31,47120.88,1.0714160219108007,317580680.5503056,1211.5435874712018,261929.3076540365,311753500.55598736,47120.88,57089000.0,1190.22,-0.01791566892776264,-0.0189611069072037,-0.0202334299359611
False,46216.93,2022-01-01,57233000.0,1.0205771119417788,324115573.76453555,1238.3557280849247,324115573.76453555,324115573.76453555,46216.93,57233000.0,1190.22,-0.04044271486357531,-0.0189611069072037,-0.0202334299359611
True,56784000.0,2022-01-02,47722.66,1.0205771119417788,324115573.76453555,1189.8749985855775,272188.27231566736,323963925.47555363,47722.66,56784000.0,1190.22,0.0002898635667545335,-0.0189611069072037,-0.019997142255011
False,47286.18,2022-01-03,57915000.0,1.0277743869594531,333117685.12985694,1224.7764568844427,333117685.12985694,333117685.12985694,47286.18,57915000.0,1189.8,-0.029396921234192908,-0.01902915586063,-0.019997142255011
True,51255000.0,2022-01-12,42729.29,1.0277743869594531,333117685.12985694,1199.5284733259082,277502.12995333626,330380160.8159445,42729.29,51255000.0,1190.55,-0.007541450023861529,-0.0189076398723687,-0.0189875746083969
False,42558.35,2022-01-14,53349000.0,1.043493012051939,347605976.62392384,1253.5495384572005,347605976.62392384,347605976.62392384,42558.35,53349000.0,1186.77,-0.05626999204327765,-0.0195200804532056,-0.0189875746083969
True,51885000.0,2022-01-15,43059.96,1.043493012051939,347605976.62392384,1204.947705478593,288270.3846885489,342110644.4368292,43059.96,51885000.0,1186.77,-0.015316957353651572,-0.0195200804532056,-0.018451076773505
False,42201.63,2022-01-18,52165000.0,1.024341847084431,356067348.1525377,1236.089696061503,356067348.1525377,356067348.1525377,42201.63,52165000.0,1190.98,-0.037876115519574594,-0.0188379707057656,-0.018451076773505
True,51435000.0,2022-01-19,42352.12,1.024341847084431,356067348.1525377,1214.4610470503012,292975.58743473364,349528665.07726026,42352.12,51435000.0,1193.03,-0.017963544127390874,-0.0185058270045181,-0.0181431532023397
False,41660.0,2022-01-20,51183000.0,1.0101585263405009,359684467.6877375,1228.5885741718675,359684467.6877375,359684467.6877375,41660.0,51183000.0,1188.21,-0.03398269175639612,-0.019286769755744,-0.0181431532023397
True,43376000.0,2022-01-24,36244.55,1.0101585263405009,359684467.6877375,1196.7592369059623,300335.79805445124,358390707.81837666,36244.55,43376000.0,1193.3,-0.00289888285088602,-0.0184620812487441,-0.0184807437628266
False,36958.32,2022-01-26,44764000.0,1.0106326921159965,363508881.8915673,1211.2022407944949,363508881.8915673,363508881.8915673,36958.32,44764000.0,1196.35,-0.01241462849040409,-0.0179679162298148,-0.0184807437628266
True,44905000.0,2022-01-27,36807.24,1.0106326921159965,363508881.8915673,1220.0045425845567,297745.10798934184,357517438.4182022,36807.24,44905000.0,1200.75,-0.01603543001004093,-0.0172550224320153,-0.0187464017632051
False,37881.75,2022-01-31,47144000.0,1.018628052086294,370280344.2772739,1244.5042797653223,370280344.2772739,370280344.2772739,37881.75,47144000.0,1209.71,-0.02876249660275798,-0.0158033114255871,-0.0187464017632051
True,47304000.0,2022-02-02,38694.59,1.018628052086294,370280344.2772739,1222.4964781898452,302672.1400375469,363954168.23094904,38694.59,47304000.0,1202.47,-0.016654451412380533,-0.0169763457656027,-0.0182183095752877
False,36896.37,2022-02-03,47784000.0,1.057870147424695,391708522.3890665,1295.0867524366217,391708522.3890665,391708522.3890665,36896.37,47784000.0,1200.36,-0.07891528577811813,-0.0173182107459112,-0.0182183095752877
True,45518000.0,2022-02-04,37311.98,1.057870147424695,391708522.3890665,1219.9298991905548,320864.79314705025,385246313.8920059,37311.98,45518000.0,1200.65,-0.016057884637949993,-0.0172712245637834,-0.0177520038371308
False,42373.73,2022-02-12,53040000.0,1.024598243911026,401343864.1648203,1251.7189305732584,401343864.1648203,401343864.1648203,42373.73,53040000.0,1200.1,-0.04301219112845467,-0.0173603362885084,-0.0177520038371308
True,51550000.0,2022-02-15,42535.94,1.024598243911026,401343864.1648203,1211.9163229965059,330927.70510870573,396266071.20536864,42535.94,51550000.0,1197.44,-0.012089393202587173,-0.0177913129935417,-0.017692768748452
False,43873.56,2022-02-17,53835000.0,1.0110342786907778,405772404.2128486,1227.048819380055,405772404.2128486,405772404.2128486,43873.56,53835000.0,1196.69,-0.02536899228710432,-0.017912828981803,-0.017692768748452
True,45450000.0,2022-02-23,38230.33,1.0110342786907778,405772404.2128486,1188.8466565682272,341076.8393965454,406914901.7052605,38230.33,45450000.0,1193.03,0.0035064863681321112,-0.0185058270045181,-0.0187983387725108
False,37250.02,2022-02-24,46500000.0,1.0485589156287745,425476272.1535053,1248.3214774112873,425476272.1535053,425476272.1535053,37250.02,46500000.0,1192.6,-0.046722687750534675,-0.0185754961711213,-0.0187983387725108
True,45483000.0,2022-02-25,38328.68,1.0485589156287745,425476272.1535053,1186.6570933306339,358300.70830666716,432150067.2957543,38328.68,45483000.0,1206.11,0.01612863393004449,-0.0163865881692413,-0.018718811463136
False,39116.73,2022-02-27,47830000.0,1.0289797979820003,437806488.5666485,1222.7504701952334,437806488.5666485,437806488.5666485,39116.73,47830000.0,1206.11,-0.013796809739769822,-0.0163865881692413,-0.018718811463136
True,46363000.0,2022-03-01,43160.0,1.0289797979820003,437806488.5666485,1074.2122335495828,407277.156573463,489213174.9329123,43160.0,46363000.0,1201.18,0.10570253121964834,-0.0171853532654121,-0.0181759451145365
False,44421.2,2022-03-02,52332000.0,1.095170239886083,479472637.10722005,1178.0861390507237,479472637.10722005,479472637.10722005,44421.2,52332000.0,1205.42,0.022675798434799832,-0.0164983828784417,-0.0181759451145365
True,47364000.0,2022-03-09,38730.63,1.095170239886083,479472637.10722005,1222.908070434176,391805.70129955484,483347185.3511829,38730.63,47364000.0,1233.64,0.008699401418423736,-0.0119261412934638,-0.0161231278994317
False,39422.01,2022-03-11,51571000.0,1.0682520784061984,512197641.12868875,1308.1778427837646,512197641.12868875,512197641.12868875,39422.01,51571000.0,1228.77,-0.06462384562103951,-0.0127151851105737,-0.0161231278994317
True,47500000.0,2022-03-15,39671.37,1.0682520784061984,512197641.12868875,1197.3370216355017,427488.328833043,530944779.2939277,39671.37,47500000.0,1242.01,0.03596829201415308,-0.0105700228644678,-0.0135586737864867
False,39280.33,2022-03-16,49212000.0,1.044927171609288,535209232.4495499,1252.8407984352473,535209232.4495499,535209232.4495499,39280.33,49212000.0,1241.66,-0.009004718228216468,-0.0106267303256564,-0.0135586737864867
True,48609000.0,2022-03-17,41114.01,1.044927171609288,535209232.4495499,1182.2977131153102,452377.08236452297,554139307.0424224,41114.01,48609000.0,1224.95,0.0348196145840155,-0.0133341065441179,-0.0126853765108231
False,40917.89,2022-03-18,50392000.0,1.0402299924156755,556740695.8117948,1231.5395539701583,556740695.8117948,556740695.8117948,40917.89,50392000.0,1210.58,-0.017313646326684973,-0.0156623528792041,-0.0126853765108231
True,50069000.0,2022-03-19,41757.51,1.0402299924156755,556740695.8117948,1199.0418011035617,464005.19241739035,561715405.8366444,41757.51,50069000.0,1210.58,0.00953113292507557,-0.0156623528792041,-0.0120101558338634
False,41262.11,2022-03-21,51245000.0,1.0343667260231266,575874050.7706836,1241.9384272883767,575874050.7706836,575874050.7706836,41262.11,51245000.0,1211.55,-0.02508227253384243,-0.0155051922010528,-0.0120101558338634
True,50471000.0,2022-03-22,41002.26,1.0343667260231266,575874050.7706836,1230.9321486181493,467518.1620874507,569820486.3154266,41002.26,50471000.0,1218.82,-0.009937602450033056,-0.0143272972215068,-0.0116453903111579
False,45497.54,2022-04-06,57069000.0,1.01761769035264,586019621.479282,1254.3315528707706,586019621.479282,586019621.479282,45497.54,57069000.0,1218.82,-0.029136010953849434,-0.0143272972215068,-0.0116453903111579
